FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
16/08/2024;GFGC29581O;2958,1;Call;1505,000;-2,27%;12.699.928;16:45:52;1560,000;1581,000;1505,000;1540,000;81;4390,00;0,23%;39,00%;0,00%;1,67%;63;0,1726
16/08/2024;GFGC31081O;3108,1;Call;1434,550;2,84%;2.875.466;15:08:48;1444,810;1444,810;1434,550;1394,990;20;4390,00;0,23%;39,00%;0,00%;3,48%;63;0,1726
16/08/2024;GFGC3150OC;3150;Call;1344,371;-6,60%;12.367.032;16:33:51;1439,390;1451,900;1344,371;1439,390;89;4390,00;0,23%;39,00%;0,00%;2,38%;63;0,1726
16/08/2024;GFGC32581O;3258,1;Call;1271,000;3,13%;11.599.313;16:06:19;1300,000;1315,320;1241,090;1232,368;90;4390,00;0,23%;39,00%;0,00%;3,17%;63;0,1726
16/08/2024;GFGC35581O;3558,1;Call;1000,000;0,67%;23.393.966;16:12:30;968,378;1100,000;968,378;993,333;229;4390,00;0,23%;39,00%;0,00%;3,83%;63;0,1726
16/08/2024;GFGC3750OC;3750;Call;800,000;-1,23%;2.772.487;16:59:41;830,000;833,000;800,000;809,938;34;4390,00;0,23%;39,00%;0,00%;3,64%;63;0,1726
16/08/2024;GFGC37522O;3752,2;Call;840,000;-1,18%;17.390.400;16:56:46;900,000;900,000;839,999;850,000;202;4390,00;0,23%;39,00%;0,00%;4,61%;63;0,1726
16/08/2024;GFGC38581O;3858,1;Call;745,000;-1,93%;187.715.120;16:59:47;760,000;820,000;710,000;759,674;2416;4390,00;0,23%;39,00%;0,00%;4,85%;63;0,1726
16/08/2024;GFGC41973O;4197,3;Call;490,000;-5,52%;51.767.506;16:57:22;530,000;569,000;475,000;518,606;996;4390,00;0,23%;39,00%;23,18%;6,77%;63;0,1726
16/08/2024;GFGC42581O;4258,1;Call;449,000;-6,59%;162.386.768;16:59:41;532,788;532,788;430,000;480,669;3370;4390,00;0,23%;39,00%;24,90%;7,22%;63;0,1726
16/08/2024;GFGC44581O;4458,1;Call;331,000;-9,51%;340.653.906;16:59:41;390,000;415,000;319,500;365,783;9181;4390,00;0,23%;39,00%;28,32%;7,54%;63;0,1726
16/08/2024;GFGC46581O;4658,1;Call;245,000;-12,34%;159.589.508;16:58:44;305,000;309,000;210,000;279,477;5792;4390,00;0,23%;39,00%;31,35%;5,58%;63;0,1726
