FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DELTA;GAMMA;VEGA;THETA;DÍAS AL VTO.;PLAZO (años)
17/10/2025;GFGC26777D;2677,7;Call;2387,460;0,00%;9.023.978;12:06:42;2372,500;2387,460;2370,010;0,000;38;4960,00;2,22%;51,00%;0,00%;2,12%;0,9877;0,0000;0,6562;-3,7547;63;0,1726
17/10/2025;GFGC27777D;2777,7;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4960,00;2,22%;51,00%;;;0,9838;0,0000;0,8321;-3,9655;63;0,1726
17/10/2025;GFGC28777D;2877,7;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4960,00;2,22%;51,00%;;;0,9791;0,0000;1,0348;-4,1868;63;0,1726
17/10/2025;GFGC29777D;2977,7;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;2400,000;0;4960,00;2,22%;51,00%;;;0,9735;0,0000;1,2641;-4,4179;63;0,1726
17/10/2025;GFGC30777D;3077,7;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1990,000;0;4960,00;2,22%;51,00%;;;0,9669;0,0000;1,5193;-4,6577;63;0,1726
17/10/2025;GFGC31777D;3177,7;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4960,00;2,22%;51,00%;;;0,9594;0,0001;1,7989;-4,9047;63;0,1726
17/10/2025;GFGC3330DI;3300;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4960,00;2,22%;51,00%;;;0,9594;0,0001;1,7989;-4,9047;63;0,1726
17/10/2025;GFGC35777D;3577,7;Call;1705,000;10,71%;2.736.101;16:50:33;1580,300;1705,000;1567,840;1540,000;17;4960,00;2,22%;51,00%;60,76%;6,51%;0,9182;0,0001;3,1142;-5,9259;63;0,1726
17/10/2025;GFGC38777D;3877,7;Call;1396,776;3,46%;22.542.478;16:11:30;1400,000;1400,000;1350,000;1350,000;163;4960,00;2,22%;51,00%;0,00%;6,34%;0,8761;0,0001;4,2158;-6,6634;63;0,1726
17/10/2025;GFGC41777D;4177,7;Call;1178,000;6,93%;101.043.961;16:57:24;1149,000;1210,000;1000,000;1101,663;871;4960,00;2,22%;51,00%;49,41%;7,98%;0,8253;0,0002;5,3059;-7,3085;63;0,1726
17/10/2025;GFGC44777D;4477,7;Call;980,000;7,99%;397.460.745;16:59:59;851,000;988,000;851,000;907,515;4167;4960,00;2,22%;51,00%;55,76%;10,03%;0,7676;0,0002;6,2928;-7,8120;63;0,1726
17/10/2025;GFGC47558D;4755,8;Call;795,000;8,39%;562.261.370;16:59:04;750,965;810,000;742,736;733,437;7267;4960,00;2,22%;51,00%;55,38%;11,91%;0,7100;0,0002;7,0541;-8,1252;63;0,1726
17/10/2025;GFGC50343D;5034,3;Call;625,000;13,69%;301.647.862;16:59:56;560,000;632,000;552,000;549,730;5087;4960,00;2,22%;51,00%;54,04%;12,60%;0,6500;0,0002;7,6326;-8,2807;63;0,1726
17/10/2025;GFGC53343D;5334,3;Call;470,000;16,57%;173.049.212;16:59:50;409,000;473,000;408,000;403,196;3988;4960,00;2,22%;51,00%;52,98%;9,48%;0,5849;0,0002;8,0339;-8,2752;63;0,1726
17/10/2025;GFGC56558D;5655,8;Call;324,499;14,37%;127.506.341;16:59:21;285,000;329,000;279,000;283,727;4264;4960,00;2,22%;51,00%;50,70%;6,54%;0,5167;0,0002;8,2137;-8,0898;63;0,1726
17/10/2025;GFGC59558D;5955,8;Call;217,500;14,51%;661.410.486;16:59:59;192,000;217,500;190,666;189,938;32394;4960,00;2,22%;51,00%;48,67%;4,39%;0,4559;0,0002;8,1706;-7,7768;63;0,1726
17/10/2025;GFGC61558D;6155,8;Call;168,990;13,89%;136.620.622;16:59:42;155,000;168,990;148,000;148,379;8772;4960,00;2,22%;51,00%;48,47%;3,41%;0,4175;0,0002;8,0445;-7,5083;63;0,1726
17/10/2025;GFGC63343D;6334,3;Call;130,000;2,45%;98.447.562;16:59:28;126,500;142,000;120,000;126,885;7775;4960,00;2,22%;51,00%;47,75%;2,62%;0,3849;0,0002;7,8764;-7,2370;63;0,1726
17/10/2025;GFGC65343D;6534,3;Call;105,000;5,00%;51.248.631;16:59:02;110,000;112,000;95,000;100,000;5101;4960,00;2,22%;51,00%;48,71%;2,12%;0,3504;0,0002;7,6355;-6,9054;63;0,1726
17/10/2025;GFGC67131D;6713,1;Call;89,000;-0,31%;9.031.242;16:59:46;96,500;97,000;80,000;89,277;1063;4960,00;2,22%;51,00%;49,93%;1,79%;0,3213;0,0002;7,3818;-6,5908;63;0,1726
17/10/2025;GFGC69343D;6934,3;Call;71,500;-0,01%;8.572.404;16:59:59;66,000;71,500;62,111;71,510;1256;4960,00;2,22%;51,00%;51,06%;1,44%;0,2878;0,0002;7,0290;-6,1864;63;0,1726
17/10/2025;GFGC71343D;7134,3;Call;61,500;0,39%;7.101.278;16:59:08;66,000;68,800;53,000;61,263;1232;4960,00;2,22%;51,00%;52,65%;1,24%;0,2599;0,0002;6,6830;-5,8132;63;0,1726
